car,fabricante,motor,combustivel,automatico,ano_fabrica,ano_modelo,km,anunciante,cidade,estado,regiao,preco,latitude,longitude,categoria
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2021,2021,1850,Pessoa Física,Curitiba,PR,Sul,130900,-25.4195,-49.2646,SUV
VOLKSWAGEN CROSS UP,VOLKSWAGEN,1,FLEX,0,2019,2019,30272,Pessoa Física,Olímpia,SP,Sudeste,63499,-20.7366,-48.9106,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,15600,Pessoa Física,São Paulo,SP,Sudeste,86865,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,44000,Pessoa Física,Novo Hamburgo,RS,Sul,78000,-29.6875,-51.1328,Carro
FIAT MOBI,FIAT,1,FLEX,0,2016,2017,66000,Pessoa Física,Ribeirão Preto,SP,Sudeste,39000,-21.1699,-47.8099,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2019,2019,37000,Pessoa Física,São Paulo,SP,Sudeste,46990,-23.5329,-46.6395,Carro
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,1,2017,2017,82000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,57000,-22.9129,-43.2003,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2018,2018,45000,Pessoa Física,Cuiabá,MT,Centro-Oeste,35000,-15.601,-56.0974,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,49000,Pessoa Física,Curitiba,PR,Sul,76000,-25.4195,-49.2646,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2018,2018,42000,Pessoa Física,Campinas,SP,Sudeste,58900,-22.9053,-47.0659,Carro
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2020,2021,7500,Pessoa Física,Itaúna,MG,Sudeste,128900,-20.0818,-44.5801,SUV
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,0,2018,2018,60000,Pessoa Física,Santa Isabel,SP,Sudeste,56900,-23.3172,-46.2237,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2020,2020,8000,Pessoa Física,Balneário Camboriú,SC,Sul,71500,-26.9926,-48.6352,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2020,2021,892,Pessoa Física,Gaspar,SC,Sul,46900,-26.9336,-48.9534,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2020,2021,17000,Pessoa Física,Uberaba,MG,Sudeste,43500,-19.7472,-47.9381,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2019,80000,Pessoa Física,Guarulhos,SP,Sudeste,65900,-23.4538,-46.5333,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2017,2017,66000,Pessoa Física,Duque de Caxias,RJ,Sudeste,38500,-22.7858,-43.3049,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2020,2020,9950,Pessoa Física,Brasília,DF,Centro-Oeste,75900,-15.7795,-47.9297,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2016,2017,22123,Pessoa Física,Marília,SP,Sudeste,47000,-22.2171,-49.9501,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2018,2019,67000,Pessoa Física,Campinas,SP,Sudeste,54000,-22.9053,-47.0659,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,17615,Pessoa Física,Divinópolis,MG,Sudeste,86500,-20.1446,-44.8912,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,7000,Pessoa Física,Niterói,RJ,Sudeste,88990,-22.8832,-43.1034,Carro
FORD KA,FORD,1,FLEX,0,2017,2018,50000,Pessoa Física,São Carlos,SP,Sudeste,42500,-22.0174,-47.886,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2019,2019,38000,Pessoa Física,Chapecó,SC,Sul,58900,-27.1004,-52.6152,Carro
FORD KA +,FORD,1,FLEX,0,2017,2018,70000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,42800,-22.9129,-43.2003,Carro
FORD KA,FORD,1,FLEX,0,2019,2020,45600,Pessoa Física,Belo Horizonte,MG,Sudeste,47500,-19.9102,-43.9266,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2017,2018,63000,Pessoa Física,Campo Grande,MS,Centro-Oeste,45900,-9.95542,-36.7926,Carro
FIAT ARGO,FIAT,1,FLEX,0,2019,2020,50000,Pessoa Física,Espírito Santo do Pinhal,SP,Sudeste,54000,-22.1909,-46.7477,Carro
VOLKSWAGEN CROSS UP,VOLKSWAGEN,1,FLEX,0,2019,2019,14500,Pessoa Física,São Paulo,SP,Sudeste,69000,-23.5329,-46.6395,Carro
FIAT ARGO,FIAT,1,FLEX,0,2018,2018,62000,Pessoa Física,Jaguariúna,SP,Sudeste,50000,-22.7037,-46.9851,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2018,2019,40500,Pessoa Física,São Paulo,SP,Sudeste,68800,-23.5329,-46.6395,Carro
FORD KA +,FORD,1,FLEX,0,2018,2019,47500,Pessoa Física,São José do Rio Preto,SP,Sudeste,48000,-20.8113,-49.3758,Carro
FORD KA,FORD,1,FLEX,0,2015,2015,97000,Pessoa Física,Vespasiano,MG,Sudeste,38900,-19.6883,-43.9239,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2014,2015,81000,Pessoa Física,São Caetano do Sul,SP,Sudeste,39500,-23.6229,-46.5548,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2017,2018,81000,Pessoa Física,São Paulo,SP,Sudeste,42500,-23.5329,-46.6395,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2019,68000,Pessoa Física,Campo Grande,MS,Centro-Oeste,54500,-9.95542,-36.7926,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2018,2019,35000,Pessoa Física,Chapecó,SC,Sul,62000,-27.1004,-52.6152,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2021,9500,Pessoa Física,Eusébio,CE,Nordeste,87000,-3.8925,-38.4559,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2021,2022,100,Pessoa Física,São Paulo,SP,Sudeste,69900,-23.5329,-46.6395,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2019,37500,Pessoa Física,Indaiatuba,SP,Sudeste,47900,-23.0816,-47.2101,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2021,2021,18000,Pessoa Física,Campina Grande,PB,Nordeste,67900,-7.22196,-35.8731,Carro
FIAT MOBI,FIAT,1,FLEX,0,2020,2021,15820,Pessoa Física,Joinville,SC,Sul,53000,-26.3045,-48.8487,Carro
VOLKSWAGEN CROSS UP,VOLKSWAGEN,1,FLEX,0,2018,2019,44000,Pessoa Física,São Francisco do Sul,SC,Sul,63000,-26.2579,-48.6344,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2017,2018,46000,Pessoa Física,Campinas,SP,Sudeste,39900,-22.9053,-47.0659,Carro
FIAT MOBI,FIAT,1,FLEX,0,2016,2017,76500,Pessoa Física,São Paulo,SP,Sudeste,39998,-23.5329,-46.6395,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,77000,Pessoa Física,Lorena,SP,Sudeste,55000,-22.7334,-45.1197,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,10369,Pessoa Física,Itapevi,SP,Sudeste,87000,-23.5488,-46.9327,Carro
FIAT MOBI,FIAT,1,FLEX,0,2019,2020,10200,Pessoa Física,Belo Horizonte,MG,Sudeste,47900,-19.9102,-43.9266,Carro
FIAT ARGO,FIAT,1,FLEX,0,2021,2021,100,Pessoa Física,Fortaleza,CE,Nordeste,66500,-3.71664,-38.5423,Carro
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,0,2017,2018,45000,Pessoa Física,Extrema,MG,Sudeste,60000,-22.854,-46.3178,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2019,2019,52000,Pessoa Física,Goiânia,GO,Centro-Oeste,46990,-16.6864,-49.2643,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2020,21000,Pessoa Física,Presidente Prudente,SP,Sudeste,46900,-22.1207,-51.3925,Carro
FORD KA +,FORD,1,FLEX,0,2017,2018,81000,Pessoa Física,Canoas,RS,Sul,41000,-29.9128,-51.1857,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2021,2021,13128,Pessoa Física,Louveira,SP,Sudeste,89500,-23.0856,-46.9484,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,38000,Pessoa Física,Piracicaba,SP,Sudeste,57990,-22.7338,-47.6476,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2015,2016,140000,Pessoa Física,Votuporanga,SP,Sudeste,38900,-20.4237,-49.9781,Carro
FORD KA +,FORD,1,FLEX,0,2017,2018,42900,Pessoa Física,Rio de Janeiro,RJ,Sudeste,47000,-22.9129,-43.2003,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,14800,Pessoa Física,Rio de Janeiro,RJ,Sudeste,81900,-22.9129,-43.2003,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2016,2016,110000,Pessoa Física,Guarulhos,SP,Sudeste,40050,-23.4538,-46.5333,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2016,2017,95000,Pessoa Física,Curitiba,PR,Sul,46000,-25.4195,-49.2646,Carro
FORD KA,FORD,1,FLEX,0,2015,2015,26000,Pessoa Física,Uberlândia,MG,Sudeste,40000,-18.9141,-48.2749,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2020,18000,Pessoa Física,Goiânia,GO,Centro-Oeste,67900,-16.6864,-49.2643,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2019,2019,32550,Pessoa Física,Palmas,TO,Norte,55000,-26.4839,-51.9888,Carro
CHEVROLET PRISMA,CHEVROLET,1,FLEX,0,2018,2018,74000,Pessoa Física,Primavera do Leste,MT,Centro-Oeste,44600,-15.544,-54.2811,Carro
