car,fabricante,motor,combustivel,automatico,ano_fabrica,ano_modelo,km,anunciante,cidade,estado,regiao,preco,latitude,longitude,categoria
RENAULT DUSTER,RENAULT,2,FLEX,0,2012,2013,74000,Loja,Praia Grande,SP,Sudeste,47900,-24.0084,-46.4121,SUV
NISSAN LIVINA,NISSAN,1.8,FLEX,1,2011,2012,84360,Loja,Gravataí,RS,Sul,30900,-29.9413,-50.9869,Minivan
HONDA HR-V,HONDA,1.8,FLEX,1,2015,2016,53000,Loja,Criciúma,SC,Sul,89900,-28.6723,-49.3729,SUV
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2019,2020,43544,Loja,Recife,PE,Nordeste,87180,-8.04666,-34.8771,Minivan
NISSAN KICKS,NISSAN,1.6,FLEX,0,2021,2022,500,Concessionária,Sete Lagoas,MG,Sudeste,95900,-19.4569,-44.2413,SUV
CHERY TIGGO 5x,CHERY,1.5,FLEX,1,2019,2020,19586,Concessionária,Curitiba,PR,Sul,114900,-25.4195,-49.2646,SUV
VOLKSWAGEN SPACE CROSS,VOLKSWAGEN,1.6,FLEX,0,2013,2014,93000,Loja,Campinas,SP,Sudeste,49990,-22.9053,-47.0659,Carro
CHEVROLET COBALT,CHEVROLET,1.4,FLEX,0,2014,2014,139000,Loja,Sorocaba,SP,Sudeste,39900,-23.4969,-47.4451,Carro
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2019,2020,14428,Concessionária,São José dos Campos,SP,Sudeste,92990,-23.1896,-45.8841,Minivan
FIAT DOBLÒ,FIAT,1.8,FLEX,0,2019,2020,59000,Loja,São Paulo,SP,Sudeste,75790,-23.5329,-46.6395,Minivan
HONDA HR-V,HONDA,1.8,FLEX,1,2021,2021,10600,Loja,Piedade,SP,Sudeste,139900,-23.7139,-47.4256,SUV
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,0,2021,2022,0,Loja,Bauru,SP,Sudeste,93800,-22.3246,-49.0871,Minivan
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2013,2014,102600,Loja,Jundiaí,SP,Sudeste,44900,-23.1852,-46.8974,Minivan
VOLKSWAGEN NIVUS,VOLKSWAGEN,1,FLEX,1,2021,2021,0,Loja,Americana,SP,Sudeste,128000,-22.7374,-47.3331,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,1,2016,2016,78313,Loja,Santos,SP,Sudeste,77990,-23.9535,-46.335,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2016,2016,92000,Loja,Piracicaba,SP,Sudeste,81000,-22.7338,-47.6476,SUV
CITROËN AIRCROSS,CITROEN,1.6,FLEX,0,2011,2011,144176,Loja,Jundiaí,SP,Sudeste,34900,-23.1852,-46.8974,Minivan
JEEP RENEGADE,JEEP,1.8,FLEX,1,2015,2016,112000,Loja,São João da Boa Vista,SP,Sudeste,77900,-21.9707,-46.7944,SUV
VOLKSWAGEN SPACEFOX,VOLKSWAGEN,1.6,FLEX,0,2015,2015,127745,Loja,São Paulo,SP,Sudeste,43490,-23.5329,-46.6395,Carro
HYUNDAI TUCSON,HYUNDAI,2,GASOLINA,1,2010,2011,150000,Loja,Osasco,SP,Sudeste,39900,-23.5324,-46.7916,SUV
VOLKSWAGEN NIVUS,VOLKSWAGEN,1,FLEX,1,2021,2021,0,Loja,São Paulo,SP,Sudeste,126900,-23.5329,-46.6395,SUV
FORD ECOSPORT,FORD,1.6,FLEX,1,2016,2017,151000,Loja,Sorocaba,SP,Sudeste,63749,-23.4969,-47.4451,SUV
VOLKSWAGEN SPACE CROSS,VOLKSWAGEN,1.6,FLEX,0,2012,2013,97227,Loja,Pato Branco,PR,Sul,44999,-26.2292,-52.6706,Carro
JEEP RENEGADE,JEEP,1.8,FLEX,1,2015,2016,64300,Loja,Natal,RN,Nordeste,72900,-5.79357,-35.1986,SUV
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2018,2019,28609,Loja,Curitiba,PR,Sul,85999,-25.4195,-49.2646,Minivan
TOYOTA ETIOS,TOYOTA,1.5,FLEX,0,2019,2020,46793,Loja,Campinas,SP,Sudeste,64390,-22.9053,-47.0659,Carro
TOYOTA COROLLA CROSS,TOYOTA,2,FLEX,1,2021,2022,150,Loja,Brasília,DF,Centro-Oeste,177900,-15.7795,-47.9297,SUV
SUZUKI VITARA,SUZUKI,1.6,GASOLINA,1,2019,2020,39000,Concessionária,Joinville,SC,Sul,119990,-26.3045,-48.8487,SUV
TOYOTA COROLLA CROSS,TOYOTA,1.8,HIBRIDO,1,2021,2022,0,Loja,São Paulo,SP,Sudeste,186880,-23.5329,-46.6395,SUV
VOLKSWAGEN NIVUS,VOLKSWAGEN,1,FLEX,1,2021,2021,0,Loja,Santos,SP,Sudeste,127990,-23.9535,-46.335,SUV
FIAT IDEA,FIAT,1.6,FLEX,1,2014,2014,144000,Loja,Osasco,SP,Sudeste,36900,-23.5324,-46.7916,Minivan
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1,FLEX,1,2019,2020,49515,Loja,Várzea Grande,MT,Centro-Oeste,107990,-6.54899,-42.248,SUV
FORD ECOSPORT,FORD,2,FLEX,1,2018,2019,60543,Loja,São Vicente,SP,Sudeste,85900,-23.9574,-46.3883,SUV
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2017,2018,92050,Loja,Brasília,DF,Centro-Oeste,65900,-15.7795,-47.9297,Minivan
HONDA HR-V,HONDA,1.8,FLEX,1,2021,2021,0,Loja,Itaúna,MG,Sudeste,144500,-20.0818,-44.5801,SUV
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1,FLEX,1,2019,2020,38130,Loja,Piedade,SP,Sudeste,112900,-23.7139,-47.4256,SUV
CITROËN C4 CACTUS,CITROEN,1.6,FLEX,1,2021,2022,0,Concessionária,Criciúma,SC,Sul,109990,-28.6723,-49.3729,Carro
RENAULT DUSTER,RENAULT,1.6,FLEX,0,2019,2020,53290,Concessionária,Anápolis,GO,Centro-Oeste,76990,-16.3281,-48.953,SUV
FIAT DOBLÒ,FIAT,1.8,FLEX,0,2020,2020,40000,Loja,Lagoa da Prata,MG,Sudeste,79800,-20.0237,-45.5401,Minivan
NISSAN KICKS,NISSAN,1.6,FLEX,1,2021,2022,0,Concessionária,Criciúma,SC,Sul,128690,-28.6723,-49.3729,SUV
HYUNDAI CRETA,HYUNDAI,1.6,FLEX,1,2021,2022,0,Loja,Timbó,SC,Sul,104900,-26.8246,-49.269,SUV
FIAT DOBLÒ,FIAT,1.8,FLEX,0,2020,2021,27894,Loja,Várzea Grande,MT,Centro-Oeste,93990,-6.54899,-42.248,Minivan
RENAULT CAPTUR,RENAULT,1.6,FLEX,1,2018,2019,64321,Loja,Joaçaba,SC,Sul,88900,-27.1721,-51.5108,Carro
RENAULT DUSTER,RENAULT,2,FLEX,1,2018,2019,50000,Loja,Praia Grande,SP,Sudeste,77900,-24.0084,-46.4121,SUV
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.4,FLEX,1,2019,2020,26300,Concessionária,Campinas,SP,Sudeste,119900,-22.9053,-47.0659,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,1,2020,2021,17764,Loja,Joinville,SC,Sul,104900,-26.3045,-48.8487,SUV
RENAULT DUSTER,RENAULT,1.6,FLEX,0,2019,2020,59946,Loja,Joinville,SC,Sul,79900,-26.3045,-48.8487,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2019,2020,43952,Loja,Joinville,SC,Sul,58900,-26.3045,-48.8487,Carro
RENAULT LOGAN,RENAULT,1,FLEX,0,2019,2020,41915,Loja,Joinville,SC,Sul,56900,-26.3045,-48.8487,Carro
RENAULT LOGAN,RENAULT,1,FLEX,0,2019,2020,49768,Concessionária,Belo Horizonte,MG,Sudeste,48990,-19.9102,-43.9266,Carro
NISSAN KICKS,NISSAN,1.6,FLEX,1,2020,2020,16000,Loja,Rio de Janeiro,RJ,Sudeste,84900,-22.9129,-43.2003,SUV
PEUGEOT 2008,PEUGEOT,1.6,FLEX,1,2019,2020,11000,Concessionária,Criciúma,SC,Sul,91900,-28.6723,-49.3729,SUV
FIAT IDEA,FIAT,1.4,FLEX,0,2011,2012,86629,Pessoa Física,Poços de Caldas,MG,Sudeste,25500,-21.78,-46.5692,Minivan
RENAULT LOGAN,RENAULT,1.6,FLEX,0,2012,2013,81391,Pessoa Física,São Paulo,SP,Sudeste,20500,-23.5329,-46.6395,Carro
JEEP RENEGADE,JEEP,1.8,FLEX,1,2019,2020,6500,Pessoa Física,São Bernardo do Campo,SP,Sudeste,90000,-23.6914,-46.5646,SUV
CITROËN C4 PICASSO,CITROEN,2,GASOLINA,1,2009,2010,90000,Pessoa Física,Salvador,BA,Nordeste,25000,-12.9718,-38.5011,Minivan
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2013,2013,95150,Pessoa Física,Ilhéus,BA,Nordeste,37070,-14.793,-39.046,Minivan
RENAULT DUSTER,RENAULT,1.6,FLEX,0,2013,2013,81500,Pessoa Física,Florianópolis,SC,Sul,39999,-27.5945,-48.5477,SUV
FIAT PALIO,FIAT,1.6,FLEX,0,2012,2013,93000,Pessoa Física,Mauá,SP,Sudeste,24000,-23.6677,-46.4613,Carro
PEUGEOT 2008,PEUGEOT,1.6,FLEX,0,2015,2016,67134,Pessoa Física,São João de Meriti,RJ,Sudeste,47500,-22.8058,-43.3729,SUV
FIAT IDEA,FIAT,1.8,FLEX,0,2012,2012,115000,Pessoa Física,Paranaíba,MS,Centro-Oeste,26000,-19.6746,-51.1909,Minivan
HYUNDAI CRETA,HYUNDAI,2,FLEX,1,2018,2019,18000,Loja,Rio de Janeiro,RJ,Sudeste,103900,-22.9129,-43.2003,SUV
KIA CARENS,KIA,2,GASOLINA,1,2011,2011,112000,Pessoa Física,Florianópolis,SC,Sul,29500,-27.5945,-48.5477,Minivan
CITROËN C4 PICASSO,CITROEN,2,GASOLINA,1,2011,2012,90000,Pessoa Física,São Paulo,SP,Sudeste,29900,-23.5329,-46.6395,Minivan
KIA CARENS,KIA,2,GASOLINA,1,2012,2013,75000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,40000,-22.9129,-43.2003,Minivan
RENAULT LOGAN,RENAULT,1.6,FLEX,0,2009,2009,145000,Pessoa Física,Recife,PE,Nordeste,17500,-8.04666,-34.8771,Carro
FIAT GRAND SIENA,FIAT,1.6,FLEX,1,2015,2016,18025,Pessoa Física,Campo Grande,MS,Centro-Oeste,39000,-9.95542,-36.7926,Carro
NISSAN LIVINA,NISSAN,1.6,FLEX,0,2010,2011,90000,Pessoa Física,Barra do Piraí,RJ,Sudeste,25300,-22.4715,-43.8269,Minivan
CITROËN C3 PICASSO,CITROEN,1.6,FLEX,1,2015,2015,45000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,35900,-22.9129,-43.2003,Minivan
FIAT IDEA,FIAT,1.4,FLEX,0,2014,2014,70857,Loja,Juiz de Fora,MG,Sudeste,36900,-21.7595,-43.3398,Minivan
CITROËN C3 PICASSO,CITROEN,1.6,FLEX,0,2012,2012,86000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,28000,-22.9129,-43.2003,Minivan
RENAULT CAPTUR,RENAULT,1.6,FLEX,1,2019,2019,23000,Pessoa Física,Recife,PE,Nordeste,80000,-8.04666,-34.8771,Carro
MERCEDES-BENZ GLB 200,MERCEDES-BENZ,1.3,GASOLINA,1,2020,2020,7541,Pessoa Física,Barueri,SP,Sudeste,290000,-23.5057,-46.879,SUV
CITROËN XSARA PICASSO,CITROEN,1.6,FLEX,0,2009,2010,60000,Pessoa Física,Recife,PE,Nordeste,20500,-8.04666,-34.8771,Minivan
SUZUKI S-CROSS,SUZUKI,1.4,GASOLINA,1,2018,2019,27855,Concessionária,São Paulo,SP,Sudeste,114790,-23.5329,-46.6395,SUV
FIAT CRONOS,FIAT,1.8,FLEX,1,2017,2018,12913,Loja,Belo Horizonte,MG,Sudeste,66300,-19.9102,-43.9266,Carro
SUZUKI VITARA,SUZUKI,1.6,GASOLINA,1,2019,2020,14000,Concessionária,São Bernardo do Campo,SP,Sudeste,108900,-23.6914,-46.5646,SUV
SUZUKI S-CROSS,SUZUKI,1.4,GASOLINA,1,2019,2020,13756,Concessionária,São Paulo,SP,Sudeste,139900,-23.5329,-46.6395,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,1,2019,2019,17500,Pessoa Física,Brasília,DF,Centro-Oeste,98000,-15.7795,-47.9297,SUV
RENAULT DUSTER,RENAULT,1.6,FLEX,1,2019,2020,100,Loja,Rio de Janeiro,RJ,Sudeste,62151,-22.9129,-43.2003,SUV
CITROËN C4 GRAND PICASSO,CITROEN,1.6,GASOLINA,1,2017,2017,77850,Concessionária,São Paulo,SP,Sudeste,89900,-23.5329,-46.6395,Minivan
FIAT DOBLÒ,FIAT,1.4,FLEX,0,2010,2011,120000,Pessoa Física,Parnamirim,RN,Nordeste,32500,-5.91116,-35.271,Minivan
FORD ECOSPORT,FORD,2,FLEX,1,2018,2019,29100,Concessionária,São Paulo,SP,Sudeste,78990,-23.5329,-46.6395,SUV
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2013,2013,108000,Pessoa Física,Caratinga,MG,Sudeste,37000,-19.7868,-42.1292,Minivan
VOLKSWAGEN JETTA,VOLKSWAGEN,2.5,GASOLINA,1,2011,2011,102000,Pessoa Física,São Paulo,SP,Sudeste,39900,-23.5329,-46.6395,Carro
SUZUKI VITARA,SUZUKI,1.6,GASOLINA,1,2019,2020,9000,Concessionária,Belo Horizonte,MG,Sudeste,109900,-19.9102,-43.9266,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,1,2018,2019,13475,Loja,São Gonçalo,RJ,Sudeste,98900,-22.8268,-43.0634,SUV
JEEP RENEGADE,JEEP,2,DIESEL,1,2016,2016,55500,Pessoa Física,Belo Horizonte,MG,Sudeste,102900,-19.9102,-43.9266,SUV
VOLKSWAGEN GOLF,VOLKSWAGEN,1.4,GASOLINA,1,2015,2015,80073,Concessionária,São Paulo,SP,Sudeste,69900,-23.5329,-46.6395,Carro
RENAULT LOGAN,RENAULT,1,FLEX,0,2012,2012,92719,Pessoa Física,Uberaba,MG,Sudeste,21000,-19.7472,-47.9381,Carro
RENAULT CAPTUR,RENAULT,1.6,FLEX,1,2019,2019,100,Loja,Rio de Janeiro,RJ,Sudeste,65095,-22.9129,-43.2003,Carro
NISSAN KICKS,NISSAN,1.6,FLEX,1,2018,2019,21000,Concessionária,São Paulo,SP,Sudeste,92490,-23.5329,-46.6395,SUV
HYUNDAI CRETA,HYUNDAI,1.6,FLEX,1,2021,2021,2600,Pessoa Física,Santa Vitória,MG,Sudeste,109500,-18.8414,-50.1208,SUV
FORD ECOSPORT,FORD,2,FLEX,1,2015,2015,65000,Pessoa Física,Pindamonhangaba,SP,Sudeste,55000,-22.9246,-45.4613,SUV
KIA CARNIVAL,KIA,3.5,GASOLINA,1,2014,2015,82000,Loja,São Paulo,SP,Sudeste,89900,-23.5329,-46.6395,Minivan
KIA CARNIVAL,KIA,3.5,GASOLINA,1,2012,2013,96000,Pessoa Física,São Paulo,SP,Sudeste,70000,-23.5329,-46.6395,Minivan
HONDA HR-V,HONDA,1.8,FLEX,1,2016,2016,46339,Concessionária,São Paulo,SP,Sudeste,84900,-23.5329,-46.6395,SUV
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,7000,Pessoa Física,Niterói,RJ,Sudeste,76990,-22.8832,-43.1034,Carro
VOLKSWAGEN SPACEFOX,VOLKSWAGEN,1.6,FLEX,0,2011,2012,112000,Loja,Rio de Janeiro,RJ,Sudeste,29900,-22.9129,-43.2003,Carro
CHEVROLET MERIVA,CHEVROLET,1.8,FLEX,1,2009,2010,145000,Pessoa Física,Curitiba,PR,Sul,21800,-25.4195,-49.2646,Minivan
RENAULT DUSTER,RENAULT,2,FLEX,0,2014,2015,82000,Pessoa Física,Imbé,RS,Sul,46500,-29.9753,-50.1281,SUV
SUZUKI VITARA,SUZUKI,1.6,GASOLINA,1,2020,2020,18000,Loja,São Paulo,SP,Sudeste,104990,-23.5329,-46.6395,SUV
CITROËN AIRCROSS,CITROEN,1.6,FLEX,0,2011,2011,110000,Pessoa Física,São Paulo,SP,Sudeste,25800,-23.5329,-46.6395,Minivan
RENAULT CAPTUR,RENAULT,1.6,FLEX,0,2018,2019,31000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,75000,-22.9129,-43.2003,Carro
CITROËN C3 PICASSO,CITROEN,1.5,FLEX,0,2012,2013,56785,Concessionária,São Paulo,SP,Sudeste,34790,-23.5329,-46.6395,Minivan
FIAT DOBLÒ,FIAT,1.8,FLEX,0,2017,2017,51056,Loja,São Paulo,SP,Sudeste,55490,-23.5329,-46.6395,Minivan
CHEVROLET COBALT,CHEVROLET,1.8,FLEX,1,2019,2020,9640,Concessionária,Taubaté,SP,Sudeste,77900,-23.0104,-45.5593,Carro
RENAULT CAPTUR,RENAULT,1.6,FLEX,1,2019,2020,14100,Pessoa Física,Sete Lagoas,MG,Sudeste,84000,-19.4569,-44.2413,Carro
VOLKSWAGEN GOLF,VOLKSWAGEN,1.4,FLEX,1,2017,2018,30000,Loja,São Paulo,SP,Sudeste,119990,-23.5329,-46.6395,Carro
HONDA HR-V,HONDA,1.8,FLEX,1,2018,2019,26000,Pessoa Física,Jaboatão dos Guararapes,PE,Nordeste,112000,-8.11298,-35.015,SUV
JEEP RENEGADE,JEEP,2,DIESEL,1,2015,2016,87720,Pessoa Física,Nova Lima,MG,Sudeste,97500,-19.9758,-43.8509,SUV
HYUNDAI CRETA,HYUNDAI,2,FLEX,1,2020,2020,9000,Loja,São Paulo,SP,Sudeste,111990,-23.5329,-46.6395,SUV
CHERY TIGGO 2,CHERY,1.5,FLEX,1,2018,2019,38797,Concessionária,São Paulo,SP,Sudeste,68500,-23.5329,-46.6395,SUV
VOLKSWAGEN JETTA,VOLKSWAGEN,2.5,GASOLINA,1,2012,2012,99996,Pessoa Física,Recife,PE,Nordeste,41999,-8.04666,-34.8771,Carro
SUZUKI VITARA,SUZUKI,1.4,GASOLINA,1,2019,2020,6000,Concessionária,Belo Horizonte,MG,Sudeste,149900,-19.9102,-43.9266,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,45232,Loja,São Paulo,SP,Sudeste,53500,-23.5329,-46.6395,Carro
CHEVROLET TRACKER,CHEVROLET,1.8,FLEX,1,2015,2015,58451,Concessionária,Recife,PE,Nordeste,64980,-8.04666,-34.8771,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,46800,Loja,São Paulo,SP,Sudeste,55590,-23.5329,-46.6395,Carro
NISSAN KICKS,NISSAN,1.6,FLEX,1,2018,2019,61170,Loja,São Paulo,SP,Sudeste,77900,-23.5329,-46.6395,SUV
FORD ECOSPORT,FORD,2,FLEX,1,2011,2012,100000,Pessoa Física,Joinville,SC,Sul,35650,-26.3045,-48.8487,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,44630,Loja,Salvador,BA,Nordeste,55900,-12.9718,-38.5011,Carro
FIAT IDEA,FIAT,1.8,FLEX,1,2013,2014,110000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,32000,-22.9129,-43.2003,Minivan
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,67895,Loja,Canoas,RS,Sul,54260,-29.9128,-51.1857,Carro
CHEVROLET TRACKER,CHEVROLET,1.8,FLEX,1,2015,2015,46704,Loja,Santo André,SP,Sudeste,72890,-23.6737,-46.5432,SUV
TOYOTA ETIOS,TOYOTA,1.5,FLEX,0,2013,2013,98888,Pessoa Física,Barueri,SP,Sudeste,30000,-23.5057,-46.879,Carro
HONDA HR-V,HONDA,1.8,FLEX,1,2020,2020,10000,Loja,São Bernardo do Campo,SP,Sudeste,124800,-23.6914,-46.5646,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,44524,Loja,São Paulo,SP,Sudeste,54900,-23.5329,-46.6395,Carro
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,49256,Loja,São José do Rio Preto,SP,Sudeste,55140,-20.8113,-49.3758,Carro
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.4,FLEX,1,2019,2020,50149,Loja,Curitiba,PR,Sul,108610,-25.4195,-49.2646,SUV
VOLKSWAGEN SPACE CROSS,VOLKSWAGEN,1.6,FLEX,0,2014,2014,44800,Loja,São Paulo,SP,Sudeste,52990,-23.5329,-46.6395,Carro
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2016,2017,145000,Concessionária,Sorocaba,SP,Sudeste,53900,-23.4969,-47.4451,Minivan
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,47616,Loja,Joinville,SC,Sul,55360,-26.3045,-48.8487,Carro
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,0,2013,2014,79520,Loja,São Paulo,SP,Sudeste,43890,-23.5329,-46.6395,Minivan
CITROËN AIRCROSS,CITROEN,1.6,FLEX,0,2011,2011,75974,Pessoa Física,Niterói,RJ,Sudeste,31000,-22.8832,-43.1034,Minivan
RENAULT DUSTER,RENAULT,1.6,FLEX,0,2018,2019,44981,Loja,Salvador,BA,Nordeste,66900,-12.9718,-38.5011,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,51341,Loja,São Paulo,SP,Sudeste,54590,-23.5329,-46.6395,Carro
RENAULT LOGAN,RENAULT,1.6,FLEX,1,2019,2020,19000,Pessoa Física,Salvador,BA,Nordeste,59990,-12.9718,-38.5011,Carro
FORD ECOSPORT,FORD,1.6,FLEX,0,2013,2014,82000,Pessoa Física,Belo Horizonte,MG,Sudeste,49000,-19.9102,-43.9266,SUV
CITROËN C4 CACTUS,CITROEN,1.6,FLEX,1,2021,2022,0,Concessionária,Guarulhos,SP,Sudeste,88468,-23.4538,-46.5333,Carro
FORD ECOSPORT,FORD,1.5,FLEX,1,2019,2019,21000,Loja,Recife,PE,Nordeste,82900,-8.04666,-34.8771,SUV
FORD ECOSPORT,FORD,1.5,FLEX,0,2018,2019,16000,Concessionária,São Paulo,SP,Sudeste,69890,-23.5329,-46.6395,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,1,2017,2017,49591,Loja,São Paulo,SP,Sudeste,80000,-23.5329,-46.6395,SUV
FIAT CRONOS,FIAT,1.3,FLEX,0,2018,2019,31494,Loja,São Bernardo do Campo,SP,Sudeste,56800,-23.6914,-46.5646,Carro
FORD ECOSPORT,FORD,1.5,FLEX,1,2019,2019,12060,Loja,São Paulo,SP,Sudeste,78900,-23.5329,-46.6395,SUV
TOYOTA ETIOS,TOYOTA,1.5,FLEX,0,2018,2019,53748,Loja,Goiânia,GO,Centro-Oeste,56470,-16.6864,-49.2643,Carro
JEEP RENEGADE,JEEP,1.8,FLEX,1,2019,2020,12500,Loja,São Paulo,SP,Sudeste,107990,-23.5329,-46.6395,SUV
RENAULT DUSTER,RENAULT,1.6,FLEX,1,2019,2020,17288,Loja,Manaus,AM,Norte,79210,-3.11866,-60.0212,SUV
PEUGEOT 2008,PEUGEOT,1.6,FLEX,1,2019,2019,27200,Concessionária,Santos,SP,Sudeste,79900,-23.9535,-46.335,SUV
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1,FLEX,1,2020,2020,9500,Loja,Americana,SP,Sudeste,104890,-22.7374,-47.3331,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,49642,Loja,Jundiaí,SP,Sudeste,55140,-23.1852,-46.8974,Carro
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,54336,Loja,São Paulo,SP,Sudeste,55190,-23.5329,-46.6395,Carro
JEEP RENEGADE,JEEP,1.8,FLEX,1,2018,2019,25482,Loja,São Paulo,SP,Sudeste,90590,-23.5329,-46.6395,SUV
CHEVROLET TRACKER,CHEVROLET,1.4,FLEX,1,2018,2019,20000,Loja,São Paulo,SP,Sudeste,105990,-23.5329,-46.6395,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2020,2020,22000,Concessionária,Rio de Janeiro,RJ,Sudeste,119900,-22.9129,-43.2003,SUV
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.4,FLEX,1,2019,2020,52650,Loja,Imperatriz,MA,Nordeste,108300,-5.51847,-47.4777,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2019,2020,44769,Loja,Recife,PE,Nordeste,53390,-8.04666,-34.8771,Carro
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,47255,Loja,Cuiabá,MT,Centro-Oeste,55270,-15.601,-56.0974,Carro
CHERY TIGGO 2,CHERY,1.5,FLEX,1,2019,2020,15000,Loja,São Paulo,SP,Sudeste,78900,-23.5329,-46.6395,SUV
CHERY ARRIZO 6,CHERY,1.5,FLEX,1,2020,2021,7308,Concessionária,Santo André,SP,Sudeste,112890,-23.6737,-46.5432,Carro
NISSAN KICKS,NISSAN,1.6,FLEX,1,2018,2019,11748,Loja,Guarulhos,SP,Sudeste,86990,-23.4538,-46.5333,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,1,2021,2021,0,Concessionária,São Paulo,SP,Sudeste,100360,-23.5329,-46.6395,SUV
VOLKSWAGEN SPACEFOX,VOLKSWAGEN,1.6,FLEX,1,2015,2015,72900,Loja,São Paulo,SP,Sudeste,46900,-23.5329,-46.6395,Carro
CITROËN C4 GRAND PICASSO,CITROEN,1.6,GASOLINA,1,2015,2016,79000,Pessoa Física,Caçador,SC,Sul,79500,-26.7757,-51.012,Minivan
JEEP RENEGADE,JEEP,1.8,FLEX,0,2016,2016,54196,Loja,São Paulo,SP,Sudeste,65890,-23.5329,-46.6395,SUV
FIAT IDEA,FIAT,1.8,FLEX,1,2011,2011,95000,Pessoa Física,Vila Velha,ES,Sudeste,29000,-20.3417,-40.2875,Minivan
RENAULT CAPTUR,RENAULT,2,FLEX,1,2019,2020,34326,Loja,São Paulo,SP,Sudeste,83820,-23.5329,-46.6395,Carro
JEEP RENEGADE,JEEP,2,DIESEL,1,2016,2016,64000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,104000,-22.9129,-43.2003,SUV
NISSAN KICKS,NISSAN,1.6,FLEX,1,2019,2019,15546,Loja,Santo André,SP,Sudeste,87860,-23.6737,-46.5432,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2019,2020,17169,Concessionária,São Paulo,SP,Sudeste,119900,-23.5329,-46.6395,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,60694,Loja,Campinas,SP,Sudeste,54900,-22.9053,-47.0659,Carro
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,54441,Loja,São Paulo,SP,Sudeste,54660,-23.5329,-46.6395,Carro
JEEP RENEGADE,JEEP,2,DIESEL,1,2020,2020,15848,Loja,Curitiba,PR,Sul,150000,-25.4195,-49.2646,SUV
RENAULT DUSTER,RENAULT,1.6,FLEX,1,2018,2019,38700,Concessionária,São Paulo,SP,Sudeste,72900,-23.5329,-46.6395,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2016,2016,49400,Loja,São Paulo,SP,Sudeste,90990,-23.5329,-46.6395,SUV
RENAULT CAPTUR,RENAULT,1.6,FLEX,0,2017,2018,30597,Loja,Santo André,SP,Sudeste,76490,-23.6737,-46.5432,Carro
FORD ECOSPORT,FORD,2,FLEX,1,2016,2017,24000,Pessoa Física,Mococa,SP,Sudeste,64000,-21.4647,-47.0024,SUV
CHEVROLET TRACKER,CHEVROLET,1.4,FLEX,1,2019,2019,37139,Loja,Uberlândia,MG,Sudeste,93640,-18.9141,-48.2749,SUV
